Kommunenummer,Kommune,Befolkning
4627,Askøy,30600
4628,Vaksdal,3899
4629,Modalen,397
4630,Osterøy,8231
4631,Alver,30285
4632,Austrheim,2947
4633,Fedje,529
4634,Masfjorden,1672
4635,Gulen,2301
4636,Solund,742
4637,Hyllestad,1275
4638,Høyanger,3883
4639,Vik,2532
4640,Sogndal,12552
4641,Aurland,1866
4642,Lærdal,2223
4643,Årdal,5178
4644,Luster,5478
4645,Askvoll,2924
4646,Fjaler,2948
4647,Sunnfjord,22804
4648,Bremanger,3381
4649,Stad,9616
4650,Gloppen,5976
4651,Stryn,7319
1505,Kristiansund,24479
1506,Molde,33291
1508,Ålesund,59663
1511,Vanylven,3029
1514,Sande,2437
1515,Herøy (Møre og Romsdal),9003
1516,Ulstein,8958
1517,Hareid,5411
1520,Ørsta,11068
1525,Stranda,4333
1528,Sykkylven,7626
1531,Sula,9798
1532,Giske,8828
1535,Vestnes,7315
1539,Rauma,7195
1547,Aukra,3780
1554,Averøy,6007
1557,Gjemnes,2740
1560,Tingvoll,3066
1563,Sunndal,7094
1566,Surnadal,5982
1573,Smøla,2141
1576,Aure,3371
1577,Volda,11009
1578,Fjord,2547
1579,Hustadvika,13538
1580,Haram,9460
5001,Trondheim - Tråante,218460
5006,Steinkjer - Stïentje,24007
5007,Namsos - Nåavmesjenjaelmie,15112
5014,Frøya,5794
5020,Osen,911
5021,Oppdal,7421
5022,Rennebu,2514
5025,Røros - Rosse,5638
5026,Holtålen,2037
5027,Midtre Gauldal,6088
5028,Melhus,17828
5029,Skaun,8574
5031,Malvik,14961
5032,Selbu,4258
5033,Tydal,773
5034,Meråker,2460
5035,Stjørdal,25108
5036,Frosta,2667
5037,Levanger - Levangke,20807
5038,Verdal,15435
5041,Snåase - Snåsa,2141
5042,Lierne,1302
5043,Raarvihke - Røyrvik,439
5044,Namsskogan,803
5045,Grong,2292
5046,Høylandet,1230
5047,Overhalla,3944
5049,Flatanger,1110
5052,Leka,596
5053,Inderøy,7066
5054,Indre Fosen,10006
5055,Heim,6075
5056,Hitra,5568
5057,Ørland,10706
5058,Åfjord,4340
5059,Orkland,18840
5060,Nærøysund,9920
5061,Rindal,1935
1804,Bodø,53638
1806,Narvik,21647
1811,Bindal,1361
1812,Sømna,2006
1813,Brønnøy,7841
1815,Vega,1202
1816,Vevelstad,477
1818,Herøy (Nordland),1874
1820,Alstahaug,7489
1822,Leirfjord,2392
1824,Vefsn,13481
1825,Grane,1415
1826,Aarborte - Hattfjelldal,1255
1827,Dønna,1445
1828,Nesna,1796
1832,Hemnes,4486
1833,Rana - Raane,25844
1834,Lurøy,1953
1835,Træna,443
1836,Rødøy,1140
1837,Meløy,6074
1838,Gildeskål,2024
1839,Beiarn,1032
1840,Saltdal,4865
1841,Fauske - Fuossko,9707
1845,Sørfold - Fuolldá,1819
1848,Steigen,2679
1851,Lødingen,1964
1853,Evenes - Evenássi,1397
1856,Røst,471
1857,Værøy,656
1859,Flakstad,1235
1860,Vestvågøy,11606
1865,Vågan,9905
1866,Hadsel,8374
1867,Bø,2609
1868,Øksnes,4613
1870,Sortland - Suortá,10748
1871,Andøy,4525
1874,Moskenes,976
1875,Hábmer - Hamarøy,2808
5501,Tromsø,79943
5503,Harstad - Hárstták,25204
5510,Kvæfjord,2901
5512,Dielddanuorri - Tjeldsund,4144
5514,Ibestad,1287
5516,Gratangen - Rivtták,1062
5518,Loabák - Lavangen,1002
5520,Bardu,4004
5522,Salangen,2132
5524,Målselv,6819
5526,Sørreisa,3528
5528,Dyrøy,1077
5530,Senja,14946
5532,Balsfjord,5625
5534,Karlsøy,2235
5536,Lyngen - Ivgu - Yykeä,2732
5538,Storfjord - Omasvuotna - Omasvuono,1848
5540,Gáivuotna - Kåfjord - Kaivuono,1939
5542,Skjervøy,2802
5544,Nordreisa - Ráisa - Raisi,4863
5546,Kvænangen,1125
5601,Alta,22074
5603,Hammerfest - Hámmerfeasta,11391
5605,Sør-Varanger,9947
5607,Vadsø,5808
5610,Kárásjohka - Karasjok,2524
5612,Guovdageaidnu - Kautokeino,2886
5614,Loppa,846
5616,Hasvik,987
5618,Måsøy,1089
5620,Nordkapp,2945
5622,Porsanger - Porsángu - Porsanki,3906
5624,Lebesby,1249
5626,Gamvik,1019
5628,Deatnu - Tana,2806
5630,Berlevåg,864
5632,Båtsfjord,2104
5634,Vardø,1969
5636,Unjárga - Nesseby,874
9999,Uoppgitt kommune,0
